date,time,flow
2022-03-01,0,0
2022-03-01,1,0
2022-03-01,2,0
2022-03-01,3,0
2022-03-01,4,0
2022-03-01,5,0
2022-03-01,6,2
2022-03-01,7,9
2022-03-01,8,8
2022-03-01,9,21
2022-03-01,10,16
2022-03-01,11,16
2022-03-01,12,16
2022-03-01,13,16
2022-03-01,14,16
2022-03-01,15,16
2022-03-01,16,16
2022-03-01,17,21
2022-03-01,18,16
2022-03-01,19,16
2022-03-01,20,12
2022-03-01,21,16
2022-03-01,22,16
2022-03-01,23,8
2022-03-02,0,8
2022-03-02,1,16
2022-03-02,2,8
2022-03-02,3,0
2022-03-02,4,0
2022-03-02,5,0
2022-03-02,6,1
2022-03-02,7,5
2022-03-02,8,12
2022-03-02,9,16
2022-03-02,10,16
2022-03-02,11,16
2022-03-02,12,16
2022-03-02,13,16
2022-03-02,14,16
2022-03-02,15,16
2022-03-02,16,16
2022-03-02,17,21
2022-03-02,18,16
2022-03-02,19,16
2022-03-02,20,8
2022-03-02,21,12
2022-03-02,22,16
2022-03-02,23,12
2022-03-03,0,4
2022-03-03,1,4
2022-03-03,2,0
2022-03-03,3,0
2022-03-03,4,0
2022-03-03,5,0
2022-03-03,6,0
2022-03-03,7,16
2022-03-03,8,16
2022-03-03,9,21
2022-03-03,10,12
2022-03-03,11,21
2022-03-03,12,16
2022-03-03,13,16
2022-03-03,14,21
2022-03-03,15,16
2022-03-03,16,16
2022-03-03,17,14
2022-03-03,18,6
2022-03-03,19,4
2022-03-03,20,16
2022-03-03,21,16
2022-03-03,22,12
2022-03-03,23,24
2022-03-04,0,2
2022-03-04,1,4
2022-03-04,2,4
2022-03-04,3,0
2022-03-04,4,1
2022-03-04,5,0
2022-03-04,6,2
2022-03-04,7,12
2022-03-04,8,16
2022-03-04,9,21
2022-03-04,10,16
2022-03-04,11,21
2022-03-04,12,16
2022-03-04,13,16
2022-03-04,14,16
2022-03-04,15,21
2022-03-04,16,20
2022-03-04,17,27
2022-03-04,18,12
2022-03-04,19,9
2022-03-04,20,12
2022-03-04,21,12
2022-03-04,22,12
2022-03-04,23,29
2022-03-05,0,10
2022-03-05,1,16
2022-03-05,2,12
2022-03-05,3,0
2022-03-05,4,0
2022-03-05,5,2
2022-03-05,6,0
2022-03-05,7,16
2022-03-05,8,16
2022-03-05,9,16
2022-03-05,10,19
2022-03-05,11,24
2022-03-05,12,38
2022-03-05,13,17
2022-03-05,14,32
2022-03-05,15,28
2022-03-05,16,20
2022-03-05,17,14
2022-03-05,18,17
2022-03-05,19,4
2022-03-05,20,10
2022-03-05,21,10
2022-03-05,22,4
2022-03-05,23,2
2022-03-06,0,1
2022-03-06,1,8
2022-03-06,2,4
2022-03-06,3,0
2022-03-06,4,1
2022-03-06,5,1
2022-03-06,6,4
2022-03-06,7,13
2022-03-06,8,16
2022-03-06,9,16
2022-03-06,10,16
2022-03-06,11,16
2022-03-06,12,15
2022-03-06,13,23
2022-03-06,14,27
2022-03-06,15,14
2022-03-06,16,14
2022-03-06,17,12
2022-03-06,18,12
2022-03-06,19,12
2022-03-06,20,6
2022-03-06,21,16
2022-03-06,22,3
2022-03-06,23,2
2022-03-07,0,10
2022-03-07,1,0
2022-03-07,2,0
2022-03-07,3,0
2022-03-07,4,0
2022-03-07,5,0
2022-03-07,6,3
2022-03-07,7,9
2022-03-07,8,14
2022-03-07,9,12
2022-03-07,10,16
2022-03-07,11,16
2022-03-07,12,16
2022-03-07,13,16
2022-03-07,14,16
2022-03-07,15,16
2022-03-07,16,16
2022-03-07,17,16
2022-03-07,18,20
2022-03-07,19,12
2022-03-07,20,12
2022-03-07,21,8
2022-03-07,22,8
2022-03-07,23,15
2022-03-08,0,15
2022-03-08,1,9
2022-03-08,2,16
2022-03-08,3,0
2022-03-08,4,0
2022-03-08,5,1
2022-03-08,6,1
2022-03-08,7,3
2022-03-08,8,8
2022-03-08,9,7
2022-03-08,10,4
2022-03-08,11,13
2022-03-08,12,7
2022-03-08,13,9
2022-03-08,14,6
2022-03-08,15,15
2022-03-08,16,18
2022-03-08,17,17
2022-03-08,18,9
2022-03-08,19,2
2022-03-08,20,6
2022-03-08,21,4
2022-03-08,22,5
2022-03-08,23,16
2022-03-09,0,4
2022-03-09,1,0
2022-03-09,2,2
2022-03-09,3,1
2022-03-09,4,0
2022-03-09,5,0
2022-03-09,6,2
2022-03-09,7,3
2022-03-09,8,11
2022-03-09,9,14
2022-03-09,10,9
2022-03-09,11,19
2022-03-09,12,14
2022-03-09,13,15
2022-03-09,14,16
2022-03-09,15,15
2022-03-09,16,18
2022-03-09,17,30
2022-03-09,18,15
2022-03-09,19,6
2022-03-09,20,7
2022-03-09,21,5
2022-03-09,22,12
2022-03-09,23,16
2022-03-10,0,0
2022-03-10,1,12
2022-03-10,2,4
2022-03-10,3,4
2022-03-10,4,8
2022-03-10,5,0
2022-03-10,6,2
2022-03-10,7,8
2022-03-10,8,11
2022-03-10,9,20
2022-03-10,10,12
2022-03-10,11,8
2022-03-10,12,8
2022-03-10,13,16
2022-03-10,14,16
2022-03-10,15,16
2022-03-10,16,16
2022-03-10,17,16
2022-03-10,18,16
2022-03-10,19,16
2022-03-10,20,12
2022-03-10,21,16
2022-03-10,22,16
2022-03-10,23,16
2022-03-11,0,1
2022-03-11,1,0
2022-03-11,2,1
2022-03-11,3,0
2022-03-11,4,1
2022-03-11,5,0
2022-03-11,6,2
2022-03-11,7,6
2022-03-11,8,13
2022-03-11,9,8
2022-03-11,10,8
2022-03-11,11,11
2022-03-11,12,20
2022-03-11,13,13
2022-03-11,14,10
2022-03-11,15,13
2022-03-11,16,21
2022-03-11,17,16
2022-03-11,18,7
2022-03-11,19,7
2022-03-11,20,8
2022-03-11,21,4
2022-03-11,22,8
2022-03-11,23,21
2022-03-12,0,17
2022-03-12,1,16
2022-03-12,2,8
2022-03-12,3,0
2022-03-12,4,1
2022-03-12,5,1
2022-03-12,6,0
2022-03-12,7,8
2022-03-12,8,16
2022-03-12,9,16
2022-03-12,10,16
2022-03-12,11,19
2022-03-12,12,12
2022-03-12,13,21
2022-03-12,14,18
2022-03-12,15,13
2022-03-12,16,12
2022-03-12,17,5
2022-03-12,18,8
2022-03-12,19,6
2022-03-12,20,5
2022-03-12,21,4
2022-03-12,22,5
2022-03-12,23,16
2022-03-13,0,5
2022-03-13,1,0
2022-03-13,2,3
2022-03-13,3,0
2022-03-13,4,0
2022-03-13,5,1
2022-03-13,6,2
2022-03-13,7,16
2022-03-13,8,16
2022-03-13,9,16
2022-03-13,10,16
2022-03-13,11,21
2022-03-13,12,16
2022-03-13,13,31
2022-03-13,14,20
2022-03-13,15,8
2022-03-13,16,9
2022-03-13,17,8
2022-03-13,18,9
2022-03-13,19,10
2022-03-13,20,10
2022-03-13,21,16
2022-03-13,22,16
2022-03-13,23,20
2022-03-14,0,2
2022-03-14,1,4
2022-03-14,2,1
2022-03-14,3,0
2022-03-14,4,0
2022-03-14,5,0
2022-03-14,6,1
2022-03-14,7,10
2022-03-14,8,4
2022-03-14,9,15
2022-03-14,10,9
2022-03-14,11,11
2022-03-14,12,11
2022-03-14,13,13
2022-03-14,14,17
2022-03-14,15,7
2022-03-14,16,17
2022-03-14,17,18
2022-03-14,18,17
2022-03-14,19,4
2022-03-14,20,7
2022-03-14,21,5
2022-03-14,22,16
2022-03-14,23,16
2022-03-15,0,13
2022-03-15,1,0
2022-03-15,2,0
2022-03-15,3,0
2022-03-15,4,0
2022-03-15,5,0
2022-03-15,6,3
2022-03-15,7,5
2022-03-15,8,9
2022-03-15,9,9
2022-03-15,10,5
2022-03-15,11,12
2022-03-15,12,15
2022-03-15,13,16
2022-03-15,14,11
2022-03-15,15,5
2022-03-15,16,12
2022-03-15,17,18
2022-03-15,18,16
2022-03-15,19,16
2022-03-15,20,9
2022-03-15,21,4
2022-03-15,22,8
2022-03-15,23,16
2022-03-16,0,8
2022-03-16,1,0
2022-03-16,2,0
2022-03-16,3,0
2022-03-16,4,0
2022-03-16,5,0
2022-03-16,6,3
2022-03-16,7,8
2022-03-16,8,16
2022-03-16,9,6
2022-03-16,10,15
2022-03-16,11,16
2022-03-16,12,16
2022-03-16,13,16
2022-03-16,14,17
2022-03-16,15,13
2022-03-16,16,13
2022-03-16,17,26
2022-03-16,18,14
2022-03-16,19,8
2022-03-16,20,11
2022-03-16,21,9
2022-03-16,22,10
2022-03-16,23,16
2022-03-17,0,0
2022-03-17,1,0
2022-03-17,2,0
2022-03-17,3,0
2022-03-17,4,1
2022-03-17,5,1
2022-03-17,6,0
2022-03-17,7,12
2022-03-17,8,11
2022-03-17,9,8
2022-03-17,10,12
2022-03-17,11,12
2022-03-17,12,12
2022-03-17,13,13
2022-03-17,14,20
2022-03-17,15,14
2022-03-17,16,21
2022-03-17,17,16
2022-03-17,18,19
2022-03-17,19,10
2022-03-17,20,12
2022-03-17,21,3
2022-03-17,22,12
2022-03-17,23,8
2022-03-18,0,13
2022-03-18,1,1
2022-03-18,2,1
2022-03-18,3,0
2022-03-18,4,1
2022-03-18,5,0
2022-03-18,6,5
2022-03-18,7,7
2022-03-18,8,9
2022-03-18,9,16
2022-03-18,10,25
2022-03-18,11,12
2022-03-18,12,29
2022-03-18,13,14
2022-03-18,14,16
2022-03-18,15,17
2022-03-18,16,23
2022-03-18,17,30
2022-03-18,18,22
2022-03-18,19,18
2022-03-18,20,12
2022-03-18,21,8
2022-03-18,22,13
2022-03-18,23,21
2022-03-19,0,12
2022-03-19,1,0
2022-03-19,2,2
2022-03-19,3,0
2022-03-19,4,0
2022-03-19,5,0
2022-03-19,6,0
2022-03-19,7,16
2022-03-19,8,16
2022-03-19,9,16
2022-03-19,10,21
2022-03-19,11,21
2022-03-19,12,21
2022-03-19,13,16
2022-03-19,14,31
2022-03-19,15,26
2022-03-19,16,25
2022-03-19,17,20
2022-03-19,18,8
2022-03-19,19,15
2022-03-19,20,10
2022-03-19,21,3
2022-03-19,22,0
2022-03-19,23,13
2022-03-20,0,0
2022-03-20,1,0
2022-03-20,2,3
2022-03-20,3,1
2022-03-20,4,1
2022-03-20,5,0
2022-03-20,6,0
2022-03-20,7,8
2022-03-20,8,16
2022-03-20,9,16
2022-03-20,10,16
2022-03-20,11,34
2022-03-20,12,24
2022-03-20,13,22
2022-03-20,14,45
2022-03-20,15,44
2022-03-20,16,30
2022-03-20,17,31
2022-03-20,18,29
2022-03-20,19,8
2022-03-20,20,5
2022-03-20,21,0
2022-03-20,22,6
2022-03-20,23,12
2022-03-21,0,0
2022-03-21,1,1
2022-03-21,2,0
2022-03-21,3,0
2022-03-21,4,1
2022-03-21,5,0
2022-03-21,6,1
2022-03-21,7,6
2022-03-21,8,12
2022-03-21,9,4
2022-03-21,10,21
2022-03-21,11,13
2022-03-21,12,15
2022-03-21,13,15
2022-03-21,14,12
2022-03-21,15,13
2022-03-21,16,17
2022-03-21,17,14
2022-03-21,18,16
2022-03-21,19,10
2022-03-21,20,10
2022-03-21,21,13
2022-03-21,22,3
2022-03-21,23,22
2022-03-22,0,15
2022-03-22,1,1
2022-03-22,2,0
2022-03-22,3,4
2022-03-22,4,0
2022-03-22,5,0
2022-03-22,6,1
2022-03-22,7,8
2022-03-22,8,12
2022-03-22,9,9
2022-03-22,10,14
2022-03-22,11,9
2022-03-22,12,9
2022-03-22,13,14
2022-03-22,14,6
2022-03-22,15,15
2022-03-22,16,14
2022-03-22,17,22
2022-03-22,18,22
2022-03-22,19,10
2022-03-22,20,5
2022-03-22,21,9
2022-03-22,22,6
2022-03-22,23,2
2022-03-23,0,6
2022-03-23,1,0
2022-03-23,2,1
2022-03-23,3,0
2022-03-23,4,0
2022-03-23,5,3
2022-03-23,6,1
2022-03-23,7,6
2022-03-23,8,13
2022-03-23,9,11
2022-03-23,10,16
2022-03-23,11,12
2022-03-23,12,12
2022-03-23,13,14
2022-03-23,14,16
2022-03-23,15,15
2022-03-23,16,22
2022-03-23,17,21
2022-03-23,18,29
2022-03-23,19,5
2022-03-23,20,6
2022-03-23,21,9
2022-03-23,22,4
2022-03-23,23,2
2022-03-24,0,1
2022-03-24,1,5
2022-03-24,2,0
2022-03-24,3,0
2022-03-24,4,0
2022-03-24,5,0
2022-03-24,6,2
2022-03-24,7,12
2022-03-24,8,16
2022-03-24,9,16
2022-03-24,10,12
2022-03-24,11,16
2022-03-24,12,16
2022-03-24,13,15
2022-03-24,14,18
2022-03-24,15,16
2022-03-24,16,16
2022-03-24,17,16
2022-03-24,18,16
2022-03-24,19,16
2022-03-24,20,14
2022-03-24,21,16
2022-03-24,22,16
2022-03-24,23,16
2022-03-25,0,8
2022-03-25,1,4
2022-03-25,2,4
2022-03-25,3,0
2022-03-25,4,0
2022-03-25,5,0
2022-03-25,6,0
2022-03-25,7,12
2022-03-25,8,16
2022-03-25,9,16
2022-03-25,10,16
2022-03-25,11,16
2022-03-25,12,26
2022-03-25,13,16
2022-03-25,14,14
2022-03-25,15,33
2022-03-25,16,37
2022-03-25,17,16
2022-03-25,18,16
2022-03-25,19,16
2022-03-25,20,16
2022-03-25,21,12
2022-03-25,22,8
2022-03-25,23,16
2022-03-26,0,8
2022-03-26,1,16
2022-03-26,2,4
2022-03-26,3,0
2022-03-26,4,0
2022-03-26,5,0
2022-03-26,6,0
2022-03-26,7,16
2022-03-26,8,16
2022-03-26,9,16
2022-03-26,10,21
2022-03-26,11,31
2022-03-26,12,31
2022-03-26,13,16
2022-03-26,14,36
2022-03-26,15,26
2022-03-26,16,25
2022-03-26,17,16
2022-03-26,18,16
2022-03-26,19,12
2022-03-26,20,12
2022-03-26,21,16
2022-03-26,22,12
2022-03-26,23,16
2022-03-27,0,8
2022-03-27,1,8
2022-03-27,2,0
2022-03-27,3,0
2022-03-27,4,0
2022-03-27,5,0
2022-03-27,6,49
2022-03-27,7,86
2022-03-27,8,4
2022-03-27,9,30
2022-03-27,10,21
2022-03-27,11,16
2022-03-27,12,17
2022-03-27,13,31
2022-03-27,14,16
2022-03-27,15,16
2022-03-27,16,16
2022-03-27,17,16
2022-03-27,18,16
2022-03-27,19,12
2022-03-27,20,16
2022-03-27,21,16
2022-03-27,22,16
2022-03-27,23,0
2022-03-28,0,12
2022-03-28,1,0
2022-03-28,2,0
2022-03-28,3,0
2022-03-28,4,0
2022-03-28,5,0
2022-03-28,6,141
2022-03-28,7,33
2022-03-28,8,12
2022-03-28,9,16
2022-03-28,10,16
2022-03-28,11,16
2022-03-28,12,16
2022-03-28,13,16
2022-03-28,14,16
2022-03-28,15,16
2022-03-28,16,16
2022-03-28,17,16
2022-03-28,18,12
2022-03-28,19,16
2022-03-28,20,8
2022-03-28,21,16
2022-03-28,22,12
2022-03-28,23,8
2022-03-29,0,0
2022-03-29,1,0
2022-03-29,2,0
2022-03-29,3,0
2022-03-29,4,0
2022-03-29,5,0
2022-03-29,6,22
2022-03-29,7,123
2022-03-29,8,16
2022-03-29,9,16
2022-03-29,10,16
2022-03-29,11,16
2022-03-29,12,16
2022-03-29,13,16
2022-03-29,14,16
2022-03-29,15,12
2022-03-29,16,16
2022-03-29,17,12
2022-03-29,18,16
2022-03-29,19,16
2022-03-29,20,8
2022-03-29,21,16
2022-03-29,22,12
2022-03-29,23,8
2022-03-30,0,0
2022-03-30,1,0
2022-03-30,2,0
2022-03-30,3,0
2022-03-30,4,0
2022-03-30,5,0
2022-03-30,6,8
2022-03-30,7,16
2022-03-30,8,16
2022-03-30,9,16
2022-03-30,10,16
2022-03-30,11,16
2022-03-30,12,16
2022-03-30,13,16
2022-03-30,14,16
2022-03-30,15,16
2022-03-30,16,21
2022-03-30,17,16
2022-03-30,18,12
2022-03-30,19,0
2022-03-30,20,8
2022-03-30,21,12
2022-03-30,22,12
2022-03-30,23,0
2022-03-31,0,0
2022-03-31,1,0
2022-03-31,2,0
2022-03-31,3,0
2022-03-31,4,0
2022-03-31,5,0
2022-03-31,6,12
2022-03-31,7,16
2022-03-31,8,16
2022-03-31,9,16
2022-03-31,10,16
2022-03-31,11,16
2022-03-31,12,16
2022-03-31,13,16
2022-03-31,14,16
2022-03-31,15,21
2022-03-31,16,16
2022-03-31,17,21
2022-03-31,18,16
2022-03-31,19,16
2022-03-31,20,16
2022-03-31,21,16
2022-03-31,22,16
2022-03-31,23,0
2022-04-01,0,0
2022-04-01,1,4
2022-04-01,2,0
2022-04-01,3,0
2022-04-01,4,0
2022-04-01,5,4
2022-04-01,6,8
2022-04-01,7,16
2022-04-01,8,16
2022-04-01,9,16
2022-04-01,10,21
2022-04-01,11,16
2022-04-01,12,16
2022-04-01,13,16
2022-04-01,14,21
2022-04-01,15,17
2022-04-01,16,16
2022-04-01,17,16
2022-04-01,18,16
2022-04-01,19,16
2022-04-01,20,6
2022-04-01,21,12
2022-04-01,22,16
2022-04-01,23,16
2022-04-02,0,26
2022-04-02,1,0
2022-04-02,2,0
2022-04-02,3,0
2022-04-02,4,0
2022-04-02,5,1
2022-04-02,6,4
2022-04-02,7,4
2022-04-02,8,10
2022-04-02,9,10
2022-04-02,10,19
2022-04-02,11,25
2022-04-02,12,21
2022-04-02,13,21
2022-04-02,14,16
2022-04-02,15,15
2022-04-02,16,21
2022-04-02,17,7
2022-04-02,18,6
2022-04-02,19,4
2022-04-02,20,4
2022-04-02,21,6
2022-04-02,22,11
2022-04-02,23,1
2022-04-03,0,4
2022-04-03,1,4
2022-04-03,2,0
2022-04-03,3,2
2022-04-03,4,0
2022-04-03,5,1
2022-04-03,6,36
2022-04-03,7,43
2022-04-03,8,16
2022-04-03,9,16
2022-04-03,10,21
2022-04-03,11,16
2022-04-03,12,14
2022-04-03,13,27
2022-04-03,14,16
2022-04-03,15,6
2022-04-03,16,12
2022-04-03,17,6
2022-04-03,18,9
2022-04-03,19,3
2022-04-03,20,16
2022-04-03,21,16
2022-04-03,22,12
2022-04-03,23,0
2022-04-04,0,0
2022-04-04,1,1
2022-04-04,2,0
2022-04-04,3,0
2022-04-04,4,1
2022-04-04,5,2
2022-04-04,6,4
2022-04-04,7,1
2022-04-04,8,16
2022-04-04,9,18
2022-04-04,10,15
2022-04-04,11,21
2022-04-04,12,22
2022-04-04,13,17
2022-04-04,14,10
2022-04-04,15,12
2022-04-04,16,11
2022-04-04,17,16
2022-04-04,18,8
2022-04-04,19,10
2022-04-04,20,8
2022-04-04,21,6
2022-04-04,22,23
2022-04-04,23,3
2022-04-05,0,0
2022-04-05,1,4
2022-04-05,2,0
2022-04-05,3,1
2022-04-05,4,1
2022-04-05,5,1
2022-04-05,6,3
2022-04-05,7,9
2022-04-05,8,8
2022-04-05,9,16
2022-04-05,10,19
2022-04-05,11,30
2022-04-05,12,20
2022-04-05,13,26
2022-04-05,14,16
2022-04-05,15,14
2022-04-05,16,22
2022-04-05,17,9
2022-04-05,18,10
2022-04-05,19,10
2022-04-05,20,8
2022-04-05,21,12
2022-04-05,22,12
2022-04-05,23,3
2022-04-06,0,0
2022-04-06,1,0
2022-04-06,2,0
2022-04-06,3,0
2022-04-06,4,1
2022-04-06,5,0
2022-04-06,6,9
2022-04-06,7,7
2022-04-06,8,13
2022-04-06,9,19
2022-04-06,10,26
2022-04-06,11,30
2022-04-06,12,24
2022-04-06,13,8
2022-04-06,14,21
2022-04-06,15,16
2022-04-06,16,23
2022-04-06,17,12
2022-04-06,18,10
2022-04-06,19,7
2022-04-06,20,9
2022-04-06,21,10
2022-04-06,22,39
2022-04-06,23,9
2022-04-07,0,4
2022-04-07,1,0
2022-04-07,2,0
2022-04-07,3,1
2022-04-07,4,2
2022-04-07,5,0
2022-04-07,6,10
2022-04-07,7,8
2022-04-07,8,8
2022-04-07,9,18
2022-04-07,10,15
2022-04-07,11,18
2022-04-07,12,20
2022-04-07,13,13
2022-04-07,14,16
2022-04-07,15,18
2022-04-07,16,16
2022-04-07,17,16
2022-04-07,18,8
2022-04-07,19,12
2022-04-07,20,16
2022-04-07,21,12
2022-04-07,22,16
2022-04-07,23,0
2022-04-08,0,0
2022-04-08,1,0
2022-04-08,2,0
2022-04-08,3,0
2022-04-08,4,0
2022-04-08,5,0
2022-04-08,6,8
2022-04-08,7,16
2022-04-08,8,12
2022-04-08,9,16
2022-04-08,10,16
2022-04-08,11,16
2022-04-08,12,16
2022-04-08,13,16
2022-04-08,14,16
2022-04-11,7,21
2022-04-11,8,12
2022-04-11,9,16
2022-04-11,10,16
2022-04-11,11,16
2022-04-11,12,16
2022-04-11,13,14
2022-04-11,14,10
2022-04-11,15,15
2022-04-11,16,23
2022-04-11,17,12
2022-04-11,18,5
2022-04-11,19,6
2022-04-11,20,2
2022-04-11,21,4
2022-04-11,22,16
2022-04-11,23,8
2022-04-12,0,0
2022-04-12,1,4
2022-04-12,2,0
2022-04-12,3,0
2022-04-12,4,6
2022-04-12,5,1
2022-04-12,6,4
2022-04-12,7,39
2022-04-12,8,12
2022-04-12,9,16
2022-04-12,10,25
2022-04-12,11,23
2022-04-12,12,15
2022-04-12,13,22
2022-04-12,14,18
2022-04-12,15,25
2022-04-12,16,18
2022-04-12,17,17
2022-04-12,18,13
2022-04-12,19,1
2022-04-12,20,5
2022-04-12,21,8
2022-04-12,22,8
2022-04-12,23,0
2022-04-13,0,8
2022-04-13,1,0
2022-04-13,2,0
2022-04-13,3,0
2022-04-13,4,1
2022-04-13,5,4
2022-04-13,6,5
2022-04-13,7,7
2022-04-13,8,9
2022-04-13,9,15
2022-04-13,10,14
2022-04-13,11,15
2022-04-13,12,14
2022-04-13,13,18
2022-04-13,14,8
2022-04-13,15,24
2022-04-13,16,15
2022-04-13,17,12
2022-04-13,18,6
2022-04-13,19,7
2022-04-13,20,7
2022-04-13,21,4
2022-04-13,22,23
2022-04-13,23,4
2022-04-14,0,7
2022-04-14,1,1
2022-04-14,2,4
2022-04-14,3,0
2022-04-14,4,0
2022-04-14,5,2
2022-04-14,6,7
2022-04-14,7,7
2022-04-14,8,10
2022-04-14,9,15
2022-04-14,10,13
2022-04-14,11,17
2022-04-14,12,25
2022-04-14,13,12
2022-04-14,14,18
2022-04-14,15,16
2022-04-14,16,16
2022-04-14,17,16
2022-04-14,18,16
2022-04-14,19,16
2022-04-14,20,16
2022-04-14,21,16
2022-04-14,22,24
2022-04-14,23,8
2022-04-15,0,4
2022-04-15,1,4
2022-04-15,2,0
2022-04-15,3,0
2022-04-15,4,0
2022-04-15,5,0
2022-04-15,6,4
2022-04-15,7,4
2022-04-15,8,12
2022-04-15,9,16
2022-04-15,10,21
2022-04-15,11,26
2022-04-15,12,16
2022-04-15,13,16
2022-04-15,14,21
2022-04-15,15,21
2022-04-15,16,16
2022-04-15,17,16
2022-04-15,18,16
2022-04-15,19,16
2022-04-15,20,8
2022-04-15,21,12
2022-04-15,22,16
2022-04-15,23,8
2022-04-16,0,8
2022-04-16,1,4
2022-04-16,2,0
2022-04-16,3,0
2022-04-16,4,0
2022-04-16,5,0
2022-04-16,6,12
2022-04-16,7,16
2022-04-16,8,16
2022-04-16,9,21
2022-04-16,10,16
2022-04-16,11,16
2022-04-16,12,16
2022-04-16,13,12
2022-04-16,14,16
2022-04-16,15,25
2022-04-16,16,16
2022-04-16,17,16
2022-04-16,18,8
2022-04-16,19,12
2022-04-16,20,8
2022-04-16,21,4
2022-04-16,22,9
2022-04-16,23,4
2022-04-17,0,4
2022-04-17,1,0
2022-04-17,2,0
2022-04-17,3,0
2022-04-17,4,0
2022-04-17,5,0
2022-04-17,6,38
2022-04-17,7,43
2022-04-17,8,16
2022-04-17,9,16
2022-04-17,10,16
2022-04-17,11,16
2022-04-17,12,21
2022-04-17,13,26
2022-04-17,14,16
2022-04-17,15,16
2022-04-17,16,16
2022-04-17,17,16
2022-04-17,18,12
2022-04-17,19,8
2022-04-17,20,16
2022-04-17,21,16
2022-04-17,22,16
2022-04-17,23,4
2022-04-18,0,5
2022-04-18,1,0
2022-04-18,2,0
2022-04-18,3,0
2022-04-18,4,0
2022-04-18,5,0
2022-04-18,6,41
2022-04-18,7,9
2022-04-18,8,8
2022-04-18,9,16
2022-04-18,10,13
2022-04-18,11,13
2022-04-18,12,9
2022-04-18,13,14
2022-04-18,14,19
2022-04-18,15,13
2022-04-18,16,13
2022-04-18,17,12
2022-04-18,18,8
2022-04-18,19,12
2022-04-18,20,4
2022-04-18,21,12
2022-04-18,22,16
2022-04-18,23,9
2022-04-19,0,3
2022-04-19,1,0
2022-04-19,2,0
2022-04-19,3,0
2022-04-19,4,0
2022-04-19,5,1
2022-04-19,6,9
2022-04-19,7,13
2022-04-19,8,8
2022-04-19,9,15
2022-04-19,10,15
2022-04-19,11,15
2022-04-19,12,14
2022-04-19,13,11
2022-04-19,14,17
2022-04-19,15,28
2022-04-19,16,16
2022-04-19,17,12
2022-04-19,18,16
2022-04-19,19,12
2022-04-19,20,8
2022-04-19,21,12
2022-04-19,22,12
2022-04-19,23,8
2022-04-20,0,4
2022-04-20,1,0
2022-04-20,2,0
2022-04-20,3,0
2022-04-20,4,0
2022-04-20,5,0
2022-04-20,6,4
2022-04-20,7,15
2022-04-20,8,16
2022-04-20,9,19
2022-04-20,10,13
2022-04-20,11,21
2022-04-20,12,14
2022-04-20,13,15
2022-04-20,14,11
2022-04-20,15,18
2022-04-20,16,31
2022-04-20,17,20
2022-04-20,18,7
2022-04-20,19,5
2022-04-20,20,12
2022-04-20,21,12
2022-04-20,22,13
2022-04-20,23,0
2022-04-21,0,2
2022-04-21,1,0
2022-04-21,2,0
2022-04-21,3,0
2022-04-21,4,0
2022-04-21,5,3
2022-04-21,6,3
2022-04-21,7,11
2022-04-21,8,11
2022-04-21,9,14
2022-04-21,10,14
2022-04-21,11,25
2022-04-21,12,18
2022-04-21,13,12
2022-04-21,14,16
2022-04-21,15,16
2022-04-21,16,16
2022-04-21,17,16
2022-04-21,18,16
2022-04-21,19,16
